,nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,zone,date
136,0,1,0,0,1,275,748,221,412,0,0,0,PA,2024-05-18T18:00:00.000Z
137,0,0,36,0,599,314,4068,2137,33,0,0,0,PE,2024-05-18T18:00:00.000Z
138,0,0,0,0,0,2,6,0,47,0,0,0,PF,2024-05-18T18:00:00.000Z
139,0,882,145,9037,0,0,404,2585,133,636,0,0,PH,2024-05-18T18:00:00.000Z
140,0,474,64,6279,0,0,78,2585,0,328,0,0,PH-LU,2024-05-18T18:00:00.000Z
141,0,85,23,1620,0,0,324,0,101,4,0,0,PH-MI,2024-05-18T18:00:00.000Z
142,0,323,58,1138,0,0,2,0,31,304,0,0,PH-VI,2024-05-18T18:00:00.000Z
143,0,0,241,12496,1564,1842,186,1024,256,0,578,0,PL,2024-05-18T18:00:00.000Z
144,0,0,413,0,1433,849,1099,80,0,30,895,0,PT,2024-05-18T18:00:00.000Z
145,0,0,15,0,0,0,0,6862,0,0,0,0,QA,2024-05-18T18:00:00.000Z
146,1463,0,56,717,787,31,2611,349,0,3,8,0,RO,2024-05-18T18:00:00.000Z
147,0,0,30,1408,6,0,1224,1,0,27,0,0,RS,2024-05-18T18:00:00.000Z
148,21308,0,0,0,0,2,32059,0,0,67725,0,0,RU,2024-05-18T17:00:00.000Z
149,21164,0,0,230,1,1,13368,61,2,53830,0,0,RU-1,2024-05-18T18:00:00.000Z
150,30,0,2,34,4,2,16150,21,3,8112,0,0,RU-2,2024-05-18T17:00:00.000Z
151,11,0,2,42,5,2,1705,25,3,3501,0,0,RU-AS,2024-05-18T17:00:00.000Z
152,3719,0,0,0,4257,502,6615,0,0,628,0,0,SE,2024-05-18T18:00:00.000Z
153,0,0,0,0,1298,2,1466,0,0,10,0,0,SE-SE1,2024-05-18T18:00:00.000Z
154,0,0,0,0,2069,20,3796,0,0,103,0,0,SE-SE2,2024-05-18T18:00:00.000Z
155,3719,0,0,0,537,288,1246,0,0,428,0,0,SE-SE3,2024-05-18T18:00:00.000Z
156,0,0,0,0,354,193,108,0,0,88,0,0,SE-SE4,2024-05-18T18:00:00.000Z
157,0,0,0,0,0,0,0,5707,0,135,0,0,SG,2024-05-18T18:00:00.000Z
158,509,0,22,0,16,79,829,36,0,1,112,0,SI,2024-05-18T18:00:00.000Z
159,1464,0,111,0,0,72,667,166,31,143,455,0,SK,2024-05-18T18:00:00.000Z
160,0,169,0,0,1,197,237,0,0,174,0,0,SV,2024-05-18T17:00:00.000Z
161,0,0,0,0,0,0,0,0,0,27980,0,0,TH,2024-05-18T18:00:00.000Z
162,0,854,664,10753,1284,0,13814,5110,96,74,0,0,TR,2024-05-18T18:00:00.000Z
163,1881,2,23,9126,717,0,275,11227,205,558,0,0,TW,2024-05-18T18:00:00.000Z
164,89736,584,1012,62143,49359,57947,35384,178565,243,19932,0,10,US,2024-05-18T18:00:00.000Z
165,0,0,0,0,0,0,30,0,0,0,0,0,US-AK-SEAPA,2024-05-18T18:00:00.000Z
166,0,0,0,0,0,220,730,453,0,11,0,0,US-CAL-BANC,2024-05-18T18:00:00.000Z
167,1005,584,465,0,3367,13462,1307,1069,0,0,0,0,US-CAL-CISO,2024-05-18T18:00:00.000Z
168,0,0,0,0,0,395,35,104,0,335,0,0,US-CAL-IID,2024-05-18T18:00:00.000Z
169,0,0,0,161,137,1076,0,157,0,107,0,0,US-CAL-LDWP,2024-05-18T18:00:00.000Z
170,0,0,0,0,0,0,99,86,0,0,0,0,US-CAL-TIDC,2024-05-18T18:00:00.000Z
171,3645,0,0,682,0,1880,71,942,0,831,0,0,US-CAR-CPLE,2024-05-18T18:00:00.000Z
172,0,0,0,0,0,0,85,172,0,90,0,0,US-CAR-CPLW,2024-05-18T18:00:00.000Z
173,6456,0,0,1817,0,648,870,2831,0,10,0,0,US-CAR-DUK,2024-05-18T18:00:00.000Z
174,330,0,0,1640,0,178,138,370,0,73,0,0,US-CAR-SC,2024-05-18T18:00:00.000Z
175,661,0,0,0,0,602,65,1664,0,0,0,0,US-CAR-SCEG,2024-05-18T18:00:00.000Z
176,0,0,0,0,0,0,166,0,0,0,0,0,US-CAR-YAD,2024-05-18T18:00:00.000Z
177,0,0,0,0,0,0,1016,0,0,0,0,0,US-CENT-SPA,2024-05-18T18:00:00.000Z
178,1923,0,9,6701,11520,664,1352,10840,1,37,0,0,US-CENT-SWPP,2024-05-18T18:00:00.000Z
179,118,0,0,278,0,126,0,1626,0,20,0,0,US-FLA-FMPP,2024-05-18T18:00:00.000Z
180,0,0,0,485,0,955,28,6242,0,67,0,0,US-FLA-FPC,2024-05-18T18:00:00.000Z
181,1937,0,0,0,0,5194,0,26064,0,15611,0,0,US-FLA-FPL,2024-05-18T18:00:00.000Z
182,0,0,0,0,0,0,0,187,0,47,0,0,US-FLA-GVL,2024-05-18T18:00:00.000Z
183,4,0,0,0,0,12,0,62,0,36,0,0,US-FLA-HST,2024-05-18T18:00:00.000Z
184,0,0,0,428,0,19,0,754,0,0,0,0,US-FLA-JEA,2024-05-18T18:00:00.000Z
185,0,0,0,764,0,1,0,1615,0,0,0,0,US-FLA-SEC,2024-05-18T18:00:00.000Z
